date,series_id,value,series_name
2018-01-01,BDIY,1504.2477,Baltic Dry Index
2018-02-01,BDIY,1686.2455,Baltic Dry Index
2018-03-01,BDIY,1749.668,Baltic Dry Index
2018-04-01,BDIY,1210.3466,Baltic Dry Index
2018-05-01,BDIY,1674.2514,Baltic Dry Index
2018-06-01,BDIY,1696.0069,Baltic Dry Index
2018-07-01,BDIY,1528.1505,Baltic Dry Index
2018-08-01,BDIY,1661.8845,Baltic Dry Index
2018-09-01,BDIY,1533.551,Baltic Dry Index
2018-10-01,BDIY,1845.9326,Baltic Dry Index
2018-11-01,BDIY,1839.3344,Baltic Dry Index
2018-12-01,BDIY,1829.4815,Baltic Dry Index
2019-01-01,BDIY,1643.0897,Baltic Dry Index
2019-02-01,BDIY,1784.107,Baltic Dry Index
2019-03-01,BDIY,1460.2889,Baltic Dry Index
2019-04-01,BDIY,1589.7959,Baltic Dry Index
2019-05-01,BDIY,1477.4407,Baltic Dry Index
2019-06-01,BDIY,1287.0145,Baltic Dry Index
2019-07-01,BDIY,1512.5222,Baltic Dry Index
2019-08-01,BDIY,1803.1813,Baltic Dry Index
2019-09-01,BDIY,1632.8161,Baltic Dry Index
2019-10-01,BDIY,1555.5741,Baltic Dry Index
2019-11-01,BDIY,1772.7964,Baltic Dry Index
2019-12-01,BDIY,1856.9055,Baltic Dry Index
2020-01-01,BDIY,1726.9031,Baltic Dry Index
2020-02-01,BDIY,1680.5635,Baltic Dry Index
2020-03-01,BDIY,1616.2542,Baltic Dry Index
2020-04-01,BDIY,1673.2277,Baltic Dry Index
2020-05-01,BDIY,1895.2701,Baltic Dry Index
2020-06-01,BDIY,1714.9101,Baltic Dry Index
2020-07-01,BDIY,1866.8944,Baltic Dry Index
2020-08-01,BDIY,1804.977,Baltic Dry Index
2020-09-01,BDIY,1478.1232,Baltic Dry Index
2020-10-01,BDIY,1732.1803,Baltic Dry Index
2020-11-01,BDIY,1552.4118,Baltic Dry Index
2020-12-01,BDIY,1543.2623,Baltic Dry Index
2021-01-01,BDIY,1499.3655,Baltic Dry Index
2021-02-01,BDIY,2108.7167,Baltic Dry Index
2021-03-01,BDIY,1732.9237,Baltic Dry Index
2021-04-01,BDIY,1822.0945,Baltic Dry Index
2021-05-01,BDIY,1690.2857,Baltic Dry Index
2021-06-01,BDIY,1809.4111,Baltic Dry Index
2021-07-01,BDIY,1749.1667,Baltic Dry Index
2021-08-01,BDIY,1852.8077,Baltic Dry Index
2021-09-01,BDIY,3515.8016,Baltic Dry Index
2021-10-01,BDIY,3856.4313,Baltic Dry Index
2021-11-01,BDIY,4000.6965,Baltic Dry Index
2021-12-01,BDIY,4489.8844,Baltic Dry Index
2022-01-01,BDIY,2866.6911,Baltic Dry Index
2022-02-01,BDIY,2800.5067,Baltic Dry Index
2022-03-01,BDIY,3054.0151,Baltic Dry Index
2022-04-01,BDIY,2532.5076,Baltic Dry Index
2022-05-01,BDIY,2753.1118,Baltic Dry Index
2022-06-01,BDIY,2446.6825,Baltic Dry Index
2022-07-01,BDIY,2285.7577,Baltic Dry Index
2022-08-01,BDIY,2142.2027,Baltic Dry Index
2022-09-01,BDIY,1976.9793,Baltic Dry Index
2022-10-01,BDIY,1736.0985,Baltic Dry Index
2022-11-01,BDIY,1692.524,Baltic Dry Index
2022-12-01,BDIY,1462.6118,Baltic Dry Index
2023-01-01,BDIY,1591.691,Baltic Dry Index
