week_start_date,sku_id,demand_units,actual_lead_time_days,stockout_flag,disruption_event_id
2022-01-03,SKU-0001,125,12,False,
2022-01-10,SKU-0001,113,16,False,
2022-01-17,SKU-0001,116,13,False,
2022-01-24,SKU-0001,115,13,False,
2022-01-31,SKU-0001,146,15,False,
2022-02-07,SKU-0001,126,13,False,
2022-02-14,SKU-0001,111,14,False,
2022-02-21,SKU-0001,188,19,False,EVT001
2022-02-28,SKU-0001,172,23,False,EVT001
2022-03-07,SKU-0001,201,20,False,EVT001
2022-03-14,SKU-0001,156,19,False,EVT001
2022-03-21,SKU-0001,198,25,False,EVT001
2022-03-28,SKU-0001,168,22,False,EVT001
2022-04-04,SKU-0001,152,21,True,EVT001
2022-04-11,SKU-0001,164,24,False,EVT001
2022-04-18,SKU-0001,180,20,False,EVT001
2022-04-25,SKU-0001,145,15,False,
2022-05-02,SKU-0001,137,17,False,
2022-05-09,SKU-0001,137,17,False,
2022-05-16,SKU-0001,139,15,False,
2022-05-23,SKU-0001,126,13,False,
2022-05-30,SKU-0001,118,14,False,
2022-06-06,SKU-0001,123,15,False,
2022-06-13,SKU-0001,101,18,False,
2022-06-20,SKU-0001,110,16,False,
2022-06-27,SKU-0001,115,15,False,
2022-07-04,SKU-0001,105,15,False,
2022-07-11,SKU-0001,95,14,False,
2022-07-18,SKU-0001,99,16,False,
2022-07-25,SKU-0001,89,14,False,
2022-08-01,SKU-0001,123,16,False,
2022-08-08,SKU-0001,74,14,False,
2022-08-15,SKU-0001,90,17,False,
2022-08-22,SKU-0001,81,14,False,
2022-08-29,SKU-0001,89,14,False,
2022-09-05,SKU-0001,85,15,False,
2022-09-12,SKU-0001,87,17,False,
2022-09-19,SKU-0001,85,13,False,
2022-09-26,SKU-0001,80,15,False,
2022-10-03,SKU-0001,84,16,False,
2022-10-10,SKU-0001,81,15,False,
2022-10-17,SKU-0001,84,14,False,
2022-10-24,SKU-0001,71,13,False,
2022-10-31,SKU-0001,81,15,False,
2022-11-07,SKU-0001,92,14,False,
2022-11-14,SKU-0001,79,15,False,
2022-11-21,SKU-0001,83,14,False,
2022-11-28,SKU-0001,97,12,False,
2022-12-05,SKU-0001,105,15,False,
2022-12-12,SKU-0001,88,13,False,
2022-12-19,SKU-0001,94,17,False,
2022-12-26,SKU-0001,111,16,False,
2023-01-02,SKU-0001,121,14,False,
2023-01-09,SKU-0001,116,16,False,
2023-01-16,SKU-0001,109,13,False,
2023-01-23,SKU-0001,107,16,False,
2023-01-30,SKU-0001,119,14,False,
2023-02-06,SKU-0001,133,16,False,
2023-02-13,SKU-0001,146,18,False,
2023-02-20,SKU-0001,133,12,False,
2023-02-27,SKU-0001,132,14,False,
